max_depth,min_samples_split,criterion,accuracy,precision,recall,f1_score
1,2,gini,1.0,1.0,1.0,1.0
1,2,entropy,1.0,1.0,1.0,1.0
1,5,gini,1.0,1.0,1.0,1.0
1,5,entropy,1.0,1.0,1.0,1.0
1,10,gini,1.0,1.0,1.0,1.0
1,10,entropy,1.0,1.0,1.0,1.0
2,2,gini,1.0,1.0,1.0,1.0
2,2,entropy,1.0,1.0,1.0,1.0
2,5,gini,1.0,1.0,1.0,1.0
2,5,entropy,1.0,1.0,1.0,1.0
2,10,gini,1.0,1.0,1.0,1.0
2,10,entropy,1.0,1.0,1.0,1.0
3,2,gini,1.0,1.0,1.0,1.0
3,2,entropy,1.0,1.0,1.0,1.0
3,5,gini,1.0,1.0,1.0,1.0
3,5,entropy,1.0,1.0,1.0,1.0
3,10,gini,1.0,1.0,1.0,1.0
3,10,entropy,1.0,1.0,1.0,1.0
4,2,gini,1.0,1.0,1.0,1.0
4,2,entropy,1.0,1.0,1.0,1.0
4,5,gini,1.0,1.0,1.0,1.0
4,5,entropy,1.0,1.0,1.0,1.0
4,10,gini,1.0,1.0,1.0,1.0
4,10,entropy,1.0,1.0,1.0,1.0
5,2,gini,1.0,1.0,1.0,1.0
5,2,entropy,1.0,1.0,1.0,1.0
5,5,gini,1.0,1.0,1.0,1.0
5,5,entropy,1.0,1.0,1.0,1.0
5,10,gini,1.0,1.0,1.0,1.0
5,10,entropy,1.0,1.0,1.0,1.0
6,2,gini,1.0,1.0,1.0,1.0
6,2,entropy,1.0,1.0,1.0,1.0
6,5,gini,1.0,1.0,1.0,1.0
6,5,entropy,1.0,1.0,1.0,1.0
6,10,gini,1.0,1.0,1.0,1.0
6,10,entropy,1.0,1.0,1.0,1.0
7,2,gini,1.0,1.0,1.0,1.0
7,2,entropy,1.0,1.0,1.0,1.0
7,5,gini,1.0,1.0,1.0,1.0
7,5,entropy,1.0,1.0,1.0,1.0
7,10,gini,1.0,1.0,1.0,1.0
7,10,entropy,1.0,1.0,1.0,1.0
8,2,gini,1.0,1.0,1.0,1.0
8,2,entropy,1.0,1.0,1.0,1.0
8,5,gini,1.0,1.0,1.0,1.0
8,5,entropy,1.0,1.0,1.0,1.0
8,10,gini,1.0,1.0,1.0,1.0
8,10,entropy,1.0,1.0,1.0,1.0
9,2,gini,1.0,1.0,1.0,1.0
9,2,entropy,1.0,1.0,1.0,1.0
9,5,gini,1.0,1.0,1.0,1.0
9,5,entropy,1.0,1.0,1.0,1.0
9,10,gini,1.0,1.0,1.0,1.0
9,10,entropy,1.0,1.0,1.0,1.0
10,2,gini,1.0,1.0,1.0,1.0
10,2,entropy,1.0,1.0,1.0,1.0
10,5,gini,1.0,1.0,1.0,1.0
10,5,entropy,1.0,1.0,1.0,1.0
10,10,gini,1.0,1.0,1.0,1.0
10,10,entropy,1.0,1.0,1.0,1.0
